Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/canonical.html-1,26,87,86,94,96,99,84,99,0.000%,.03058,0.01,0.01
/success.txt-2,26,43,43,44,44,44,42,44,0.000%,.03053,0.01,0.01
/success.txt-3,26,42,43,44,44,44,42,44,0.000%,.03048,0.01,0.01
/canonical.html-4,26,42,43,44,44,46,42,46,0.000%,.03043,0.01,0.01
/success.txt-6,26,42,43,43,43,43,41,43,0.000%,.03037,0.01,0.01
/canonical.html-7,26,42,43,44,44,44,42,44,0.000%,.03032,0.01,0.01
/success.txt-5,26,42,43,43,45,50,42,50,0.000%,.03027,0.01,0.01
/success.txt-9,26,42,43,44,44,46,42,46,0.000%,.03022,0.01,0.01
/success.txt-8,26,42,43,43,44,44,42,44,0.000%,.03017,0.01,0.01
/canonical.html-10,26,42,43,44,44,45,42,45,0.000%,.03012,0.01,0.01
/success.txt-11,26,42,43,44,44,46,41,46,0.000%,.03007,0.01,0.01
/success.txt-12,26,43,43,43,46,47,42,47,0.000%,.03002,0.01,0.01
/canonical.html-13,26,43,43,44,44,45,42,45,0.000%,.02997,0.01,0.01
/success.txt-14,26,42,43,44,44,45,42,45,0.000%,.02992,0.01,0.01
/success.txt-15,26,42,43,43,44,45,42,45,0.000%,.02987,0.01,0.01
/canonical.html-16,26,43,43,44,45,53,42,53,0.000%,.02982,0.01,0.01
/canonical.html-19,26,43,43,44,45,45,41,45,0.000%,.02977,0.01,0.01
/success.txt-17,24,43,43,44,44,54,42,54,0.000%,.02912,0.01,0.01
/success.txt-18,24,42,43,44,44,45,42,45,0.000%,.02907,0.01,0.01
/success.txt-21,24,42,43,43,44,48,41,48,0.000%,.02902,0.01,0.01
/success.txt-20,24,42,43,44,45,45,42,45,0.000%,.02897,0.01,0.01
/canonical.html-22,24,69,84,94,96,111,42,111,0.000%,.02892,0.01,0.01
/success.txt-24,24,42,43,44,44,45,41,45,0.000%,.02887,0.01,0.01
/success.txt-23,24,42,43,44,44,44,42,44,0.000%,.02882,0.01,0.01
/canonical.html-25,24,43,43,44,44,47,42,47,0.000%,.02877,0.01,0.01
/success.txt-27,24,43,43,45,45,45,42,45,0.000%,.02872,0.01,0.01
/success.txt-26,24,42,43,44,44,44,42,44,0.000%,.02867,0.01,0.01
/canonical.html-28,24,42,43,43,43,44,42,44,0.000%,.02862,0.01,0.01
/success.txt-29,24,42,43,44,45,45,41,45,0.000%,.02857,0.01,0.01
/success.txt-30,24,42,43,43,44,45,42,45,0.000%,.02852,0.01,0.01
/canonical.html-31,24,42,42,44,44,46,42,46,0.000%,.02847,0.01,0.01
/success.txt-33,24,42,43,43,44,44,42,44,0.000%,.02842,0.01,0.01
/canonical.html-34,24,43,43,44,44,50,42,50,0.000%,.02837,0.01,0.01
/success.txt-32,24,43,43,45,45,60,42,60,0.000%,.02833,0.01,0.01
/success.txt-35,23,42,43,44,44,44,42,44,0.000%,.02713,0.01,0.01
/success.txt-36,22,42,43,43,43,45,42,45,0.000%,.02848,0.01,0.01
/canonical.html-37,22,42,43,44,44,44,42,44,0.000%,.02843,0.01,0.01
/success.txt-38,22,43,43,44,45,45,41,45,0.000%,.02838,0.01,0.01
/success.txt-39,22,43,43,44,46,48,42,48,0.000%,.02833,0.01,0.01
/canonical.html-40,22,42,43,43,44,44,41,44,0.000%,.02827,0.01,0.01
/success.txt-42,22,42,43,43,43,44,42,44,0.000%,.02822,0.01,0.01
/success.txt-41,22,63,44,96,98,101,42,101,0.000%,.02817,0.01,0.01
/canonical.html-43,22,68,84,95,96,97,42,97,0.000%,.02812,0.01,0.01
/success.txt-45,22,42,42,44,44,44,42,44,0.000%,.02807,0.01,0.01
/success.txt-44,22,42,43,43,44,45,42,45,0.000%,.02801,0.01,0.01
/canonical.html-46,22,42,43,43,44,44,42,44,0.000%,.02796,0.01,0.01
/success.txt-47,22,45,43,45,46,101,42,101,0.000%,.02791,0.01,0.01
/success.txt-48,22,42,43,43,44,45,42,45,0.000%,.02786,0.01,0.01
/canonical.html-49,22,43,42,44,45,51,42,51,0.000%,.02781,0.01,0.01
/success.txt-50,22,42,42,43,45,45,41,45,0.000%,.02776,0.01,0.01
/success.txt-51,22,42,43,43,44,44,42,44,0.000%,.02771,0.01,0.01
/canonical.html-52,22,42,43,44,44,44,42,44,0.000%,.02766,0.01,0.01
/success.txt-53,22,42,43,43,43,44,42,44,0.000%,.02761,0.01,0.01
/success.txt-54,22,42,43,44,44,47,41,47,0.000%,.02756,0.01,0.01
