Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/canonical.html-1,1,106,106,106,106,106,106,106,0.000%,9.43396,2.75,2.79
/success.txt-2,1,46,46,46,46,46,46,46,0.000%,21.73913,4.59,6.79
/success.txt-3,1,49,49,49,49,49,49,49,0.000%,20.40816,4.30,6.38
/canonical.html-4,1,43,43,43,43,43,43,43,0.000%,23.25581,6.77,6.88
/success.txt-6,1,43,43,43,43,43,43,43,0.000%,23.25581,4.91,7.27
/canonical.html-7,1,48,48,48,48,48,48,48,0.000%,20.83333,6.06,6.16
/success.txt-5,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/success.txt-9,1,45,45,45,45,45,45,45,0.000%,22.22222,4.69,6.94
/success.txt-8,1,47,47,47,47,47,47,47,0.000%,21.27660,4.49,6.65
/canonical.html-10,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-11,1,43,43,43,43,43,43,43,0.000%,23.25581,4.91,7.27
/success.txt-12,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-13,1,46,46,46,46,46,46,46,0.000%,21.73913,6.33,6.43
/success.txt-14,1,45,45,45,45,45,45,45,0.000%,22.22222,4.69,6.94
/success.txt-15,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-16,1,47,47,47,47,47,47,47,0.000%,21.27660,6.19,6.30
/canonical.html-19,1,45,45,45,45,45,45,45,0.000%,22.22222,6.47,6.58
/success.txt-17,1,43,43,43,43,43,43,43,0.000%,23.25581,4.91,7.27
/success.txt-18,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/success.txt-21,1,43,43,43,43,43,43,43,0.000%,23.25581,4.91,7.27
/success.txt-20,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-22,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-24,1,48,48,48,48,48,48,48,0.000%,20.83333,4.39,6.51
/success.txt-23,1,43,43,43,43,43,43,43,0.000%,23.25581,4.91,7.27
/canonical.html-25,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-27,1,47,47,47,47,47,47,47,0.000%,21.27660,4.49,6.65
/success.txt-26,1,46,46,46,46,46,46,46,0.000%,21.73913,4.59,6.79
/canonical.html-28,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-29,1,48,48,48,48,48,48,48,0.000%,20.83333,4.39,6.51
/success.txt-30,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-31,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-33,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-34,1,47,47,47,47,47,47,47,0.000%,21.27660,6.19,6.30
/success.txt-32,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/success.txt-35,1,48,48,48,48,48,48,48,0.000%,20.83333,4.39,6.51
/success.txt-36,1,47,47,47,47,47,47,47,0.000%,21.27660,4.49,6.65
/canonical.html-37,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-38,1,45,45,45,45,45,45,45,0.000%,22.22222,4.69,6.94
/success.txt-39,1,44,44,44,44,44,44,44,0.000%,22.72727,4.79,7.10
/canonical.html-40,1,44,44,44,44,44,44,44,0.000%,22.72727,6.61,6.72
/success.txt-42,1,47,47,47,47,47,47,47,0.000%,21.27660,4.49,6.65
